receipt_id,line_no,sku,name,qty,unit_price,category_hint,raw_json,created_at
"6-42620",1,"10068","🐔 Big Rooster Sriracha Chicken ไก่ศรีราชาตัวใหญ่",1,"""249""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba6516c"",""sku"":""10068"",""cost"":0,""price"":249,""item_id"":""99eb5778-55c9-4d95-9f7c-a1147f27ec3f"",""quantity"":1,""item_name"":""🐔 Big Rooster Sriracha Chicken ไก่ศรีราชาตัวใหญ่"",""line_note"":null,""cost_total"":0,""line_taxes"":[],""variant_id"":""75b9a8a1-b478-46c9-8ee5-64fde6aec2c4"",""total_money"":249,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[],""total_discount"":0,""gross_total_money"":249}","""2025-12-11T20:00:11.742Z"""
"6-42619",1,"10006","Ultimate Double (คู่)",1,"""220""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba5516c"",""sku"":""10006"",""cost"":0,""price"":220,""item_id"":""d56f315c-7e25-47af-8a4c-6e738aa49f5b"",""quantity"":1,""item_name"":""Ultimate Double (คู่)"",""line_note"":null,""cost_total"":0,""line_taxes"":[],""variant_id"":""3226e5d3-4a7c-4147-aa1a-ed18fd37e51b"",""total_money"":220,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[],""total_discount"":0,""gross_total_money"":220}","""2025-12-11T20:00:11.864Z"""
"6-42618",1,"10066","Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น)",1,"""169""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba4516c"",""sku"":""10066"",""cost"":0,""price"":169,""item_id"":""359b5618-2ab2-461b-a74a-88f19c3e1857"",""quantity"":1,""item_name"":""Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น)"",""line_note"":null,""cost_total"":0,""line_taxes"":[],""variant_id"":""3642901c-4c9f-4c55-98a9-a3392dcf309f"",""total_money"":169,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[],""total_discount"":0,""gross_total_money"":169}","""2025-12-11T20:00:12.243Z"""
"6-42617",1,"10019","Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน)",1,"""240""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba3516c"",""sku"":""10019"",""cost"":103.83,""price"":240,""item_id"":""d6f47046-7eff-461f-a795-6fa82d655712"",""quantity"":1,""item_name"":""Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน)"",""line_note"":null,""cost_total"":103.83,""line_taxes"":[],""variant_id"":""c6a4a13e-e267-41ec-9b42-320ddd78bfa6"",""total_money"":240,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[],""total_discount"":0,""gross_total_money"":240}","""2025-12-11T20:00:12.443Z"""
"6-42616",1,"10033","Single Meal Set (Meal Deal)",1,"""249""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba2516c"",""sku"":""10033"",""cost"":13.12,""price"":249,""item_id"":""2d828161-e0de-4996-acf3-ee733bb37ca8"",""quantity"":1,""item_name"":""Single Meal Set (Meal Deal)"",""line_note"":null,""cost_total"":13.12,""line_taxes"":[],""variant_id"":""6c13bcf7-adfa-4d51-918d-05e18cfeb0de"",""total_money"":249,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[{""id"":""91580045-6f3a-4e4b-b876-96a3000784f1"",""name"":""Burger Extra Options ตัวเลือกเบอร์เกอร์"",""price"":0,""option"":""🐄Animal Style (🛑No Salad 🛑No Tomatos)"",""money_amount"":0,""modifier_option_id"":""51d6ca93-3bd1-4904-bf67-da63fd939a66""},{""id"":""55bf1953-5f66-480a-ae95-8188ebd77eb9"",""name"":""🛑🛑 PLEASE NO 🛑🛑"",""price"":0,""option"":""❌ 🧀 CHEESE (ไม่ใส่ซีส) ❌"",""money_amount"":0,""modifier_option_id"":""e3f79426-c7d7-4be0-92e9-fdd32a08d897""},{""id"":""55bf1953-5f66-480a-ae95-8188ebd77eb9"",""name"":""🛑🛑 PLEASE NO 🛑🛑"",""price"":0,""option"":""❌ 🥬 NO SALAD (ไม่ใส่สลัด)❌"",""money_amount"":0,""modifier_option_id"":""a748449b-a959-4284-9e3a-237f221c1fa7""},{""id"":""55bf1953-5f66-480a-ae95-8188ebd77eb9"",""name"":""🛑🛑 PLEASE NO 🛑🛑"",""price"":0,""option"":""❌NO BURGER SAUCE (ไม่ใส่ซอดเบอร์เกอร์) ❌"",""money_amount"":0,""modifier_option_id"":""00cce968-5e6d-4ef6-b8ca-79a4732ac8dc""},{""id"":""55bf1953-5f66-480a-ae95-8188ebd77eb9"",""name"":""🛑🛑 PLEASE NO 🛑🛑"",""price"":0,""option"":""❌🥒 NO PICKLES (ไม่ใส่แตงดอง)❌"",""money_amount"":0,""modifier_option_id"":""4a22bac8-fc5b-4730-944f-ef42c5d630ac""},{""id"":""55bf1953-5f66-480a-ae95-8188ebd77eb9"",""name"":""🛑🛑 PLEASE NO 🛑🛑"",""price"":0,""option"":""❌🧅 NO ONIONS (ไม่ใส่หัวหอม)❌"",""money_amount"":0,""modifier_option_id"":""fe90ec9c-2775-4440-889d-324d5ed8cdb8""},{""id"":""55bf1953-5f66-480a-ae95-8188ebd77eb9"",""name"":""🛑🛑 PLEASE NO 🛑🛑"",""price"":0,""option"":""❌ 🍅 NO TOMATO (ไม่ใส่มะเขือเทศ)❌"",""money_amount"":0,""modifier_option_id"":""51f809ff-db2b-4aaa-a108-b3e2bf6b14cc""},{""id"":""eba0f643-dd90-4fff-a34b-b66655867773"",""name"":""Drink Options (Sets)"",""price"":0,""option"":""Fanta Orange"",""money_amount"":0,""modifier_option_id"":""782e03cd-df9e-4ebc-8a76-095f12d84e8f""}],""total_discount"":0,""gross_total_money"":249}","""2025-12-11T20:00:12.643Z"""
"6-42615",1,"10036","Super Double Bacon & Cheese Set (Meal Deal)",1,"""319""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba1516c"",""sku"":""10036"",""cost"":116.95,""price"":319,""item_id"":""2c4a5368-b563-4a41-b51b-f33011a0fd6e"",""quantity"":1,""item_name"":""Super Double Bacon & Cheese Set (Meal Deal)"",""line_note"":null,""cost_total"":116.95,""line_taxes"":[],""variant_id"":""5c8349c8-a7ba-4ed0-8469-4e0ba578e8e7"",""total_money"":319,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[{""id"":""55bf1953-5f66-480a-ae95-8188ebd77eb9"",""name"":""🛑🛑 PLEASE NO 🛑🛑"",""price"":0,""option"":""❌🧅 NO ONIONS (ไม่ใส่หัวหอม)❌"",""money_amount"":0,""modifier_option_id"":""fe90ec9c-2775-4440-889d-324d5ed8cdb8""},{""id"":""eba0f643-dd90-4fff-a34b-b66655867773"",""name"":""Drink Options (Sets)"",""price"":0,""option"":""Coke"",""money_amount"":0,""modifier_option_id"":""dba36679-a2b5-42b7-88e1-4d7dc125ee47""}],""total_discount"":0,""gross_total_money"":319}","""2025-12-11T20:00:14.467Z"""
"6-42615",2,"10033","Single Meal Set (Meal Deal)",2,"""249""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba1516d"",""sku"":""10033"",""cost"":13.12,""price"":249,""item_id"":""2d828161-e0de-4996-acf3-ee733bb37ca8"",""quantity"":2,""item_name"":""Single Meal Set (Meal Deal)"",""line_note"":null,""cost_total"":26.24,""line_taxes"":[],""variant_id"":""6c13bcf7-adfa-4d51-918d-05e18cfeb0de"",""total_money"":498,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[{""id"":""eba0f643-dd90-4fff-a34b-b66655867773"",""name"":""Drink Options (Sets)"",""price"":0,""option"":""Coke"",""money_amount"":0,""modifier_option_id"":""dba36679-a2b5-42b7-88e1-4d7dc125ee47""}],""total_discount"":0,""gross_total_money"":498}","""2025-12-11T20:00:14.744Z"""
"6-42614",1,"10019","Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน)",1,"""240""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba0516c"",""sku"":""10019"",""cost"":103.83,""price"":240,""item_id"":""d6f47046-7eff-461f-a795-6fa82d655712"",""quantity"":1,""item_name"":""Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน)"",""line_note"":null,""cost_total"":103.83,""line_taxes"":[],""variant_id"":""c6a4a13e-e267-41ec-9b42-320ddd78bfa6"",""total_money"":240,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[{""id"":""55bf1953-5f66-480a-ae95-8188ebd77eb9"",""name"":""🛑🛑 PLEASE NO 🛑🛑"",""price"":0,""option"":""❌🧅 NO ONIONS (ไม่ใส่หัวหอม)❌"",""money_amount"":0,""modifier_option_id"":""fe90ec9c-2775-4440-889d-324d5ed8cdb8""},{""id"":""55bf1953-5f66-480a-ae95-8188ebd77eb9"",""name"":""🛑🛑 PLEASE NO 🛑🛑"",""price"":0,""option"":""❌🥒 NO PICKLES (ไม่ใส่แตงดอง)❌"",""money_amount"":0,""modifier_option_id"":""4a22bac8-fc5b-4730-944f-ef42c5d630ac""}],""total_discount"":0,""gross_total_money"":240}","""2025-12-11T20:00:15.143Z"""
"6-42614",2,"10018","Cajun Fries",1,"""99""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba0516d"",""sku"":""10018"",""cost"":0,""price"":99,""item_id"":""50f61520-ce7e-4639-a7ae-d1ea89c7dd09"",""quantity"":1,""item_name"":""Cajun Fries"",""line_note"":null,""cost_total"":0,""line_taxes"":[],""variant_id"":""b961eff5-cd10-4bc3-8bd0-38ed5f5da50a"",""total_money"":99,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[],""total_discount"":0,""gross_total_money"":99}","""2025-12-11T20:00:15.643Z"""
"6-42614",3,"10012","Coke Can",1,"""40""",,"{""id"":""9553152a-9da0-50cc-f6a3-2abc7ba0516e"",""sku"":""10012"",""cost"":13.12,""price"":40,""item_id"":""6e657a3f-4b47-4e36-88d9-64f151b94d8d"",""quantity"":1,""item_name"":""Coke Can"",""line_note"":null,""cost_total"":13.12,""line_taxes"":[],""variant_id"":""c94d2ae1-ae35-47a0-abae-fbc2ffc55dcd"",""total_money"":40,""variant_name"":null,""line_discounts"":[],""line_modifiers"":[],""total_discount"":0,""gross_total_money"":40}","""2025-12-11T20:00:15.943Z"""
