path,type,area,purpose,imported_by,imports,runtime_used (yes/no/unknown),business_critical (yes/no/unknown),duplicate_of,legacy_flag (yes/no),delete_candidate (yes/no/maybe),confidence,notes
.env.example,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
.eslintignore,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
.eslintrc.cjs,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
.gitignore,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
.prettierrc,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
.replit,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
ADD_REDIRECT_URI.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
AGENTS.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
AGENT_RULES.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
BURGER_METRICS_TESTING.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
BURGER_METRICS_TESTING_COMPLETE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
BUTTON_STYLE_GUIDE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
CATALOG_IMPORT_GUIDE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
DAILY_SALES_STOCK_ARCHITECTURE_REPORT.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
DAILY_SALES_STOCK_FORMS_TEST_REPORT.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
DAILY_SALES_WORKFLOW_TEST_REPORT.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
DATABASE_APP_SNAPSHOT.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
DESIGN_STYLEGUIDE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
DIAGNOSIS_TABLET_FORM_ISSUE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
DiscrepancyCard.tsx,code,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
FB_ANALYSIS_ARCHITECTURE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
FIND_URI_SETTINGS.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
FORM_COMPLETE_DOCUMENTATION.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
FORM_COMPLETE_SYSTEM_DOCUMENTATION.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
FULL_ARCHITECTURE_REVIEW_2026-02-11.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
GMAIL_SETUP_COMPLETE_GUIDE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
GMAIL_SETUP_GUIDE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
GMAIL_VERIFICATION_FIX.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
LOYVERSE_WEBHOOK_SETUP.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
MEEKONG_MUMBA_V1_SUMMARY.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
MEGA_PATCH_IMPLEMENTATION_SUMMARY.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
MENU_MANAGEMENT_ARCHITECTURE.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
NO_EMOJI_POLICY.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
NO_FAKE_DATA_POLICY.md,doc,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_FIX_AND_SMOKE_20251011.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_MEAT_AUTOFILL_V1.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_MEGA_V3_20251009.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_MEGA_V3_NO_GIT.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_ROLLS_AUTOFILL_AND_SAVE_V2.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_STOCK_REVIEW_AUTOBTN_HARDEN.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_STOCK_REVIEW_V1.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_V3_1_TIDY.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
PATCH_V3_3A_CSV_EXPORT.sh,other,repo,inventory entry,,,no,unknown,,no,no,LIKELY,
