route_type (frontend/backend/api),method,path,file_source,handler_or_component,auth_required,currently_used (yes/no/unknown),duplicate_or_overlap,related_feature,delete_candidate,confidence,notes
frontend,GET,/,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 137; source literal; original ""/"""
frontend,GET,/website,client/src/App.tsx,HomePage,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 140; source literal; original ""/website"""
frontend,GET,/website/membership,client/src/App.tsx,PublicMembership,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 141; source literal; original ""/website/membership"""
frontend,GET,/website/online-ordering,client/src/App.tsx,PublicOnlineOrdering,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 142; source literal; original ""/website/online-ordering"""
frontend,GET,/login,client/src/App.tsx,Login,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 143; source literal; original ""/login"""
frontend,GET,/order,client/src/App.tsx,OnlineOrdering,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 144; source ROUTES.ORDER; original {ROUTES.ORDER}
frontend,GET,/online-ordering/checkout,client/src/App.tsx,Checkout,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 145; source ROUTES.ORDER_CHECKOUT; original {ROUTES.ORDER_CHECKOUT}
frontend,GET,/online-ordering/confirmation,client/src/App.tsx,OrderConfirmation,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 146; source ROUTES.ORDER_CONFIRMATION; original {ROUTES.ORDER_CONFIRMATION}
frontend,GET,/dashboard,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 149; source literal; original ""/dashboard"""
frontend,GET,/home,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 150; source literal; original ""/home"""
frontend,GET,/operations/daily-sales-v2/library,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 152; source ROUTES.DAILY_SALES_LIBRARY; original {ROUTES.DAILY_SALES_LIBRARY}
frontend,GET,/operations/daily-sales-library,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 153; source literal; original ""/operations/daily-sales-library"""
frontend,GET,/operations/shopping-list,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 154; source ROUTES.SHOPPING_LIST; original {ROUTES.SHOPPING_LIST}
frontend,GET,/operations/purchasing-list/:id,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 155; source literal; original ""/operations/purchasing-list/:id"""
frontend,GET,/operations/purchasing-mapping,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 156; source literal; original ""/operations/purchasing-mapping"""
frontend,GET,/operations/purchasing-shift-log,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 157; source literal; original ""/operations/purchasing-shift-log"""
frontend,GET,/operations/purchasing-analytics,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 158; source literal; original ""/operations/purchasing-analytics"""
frontend,GET,/operations/ingredient-purchasing,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,App.tsx line 159; source ROUTES.INGREDIENT_PURCHASING; original {ROUTES.INGREDIENT_PURCHASING}
frontend,GET,/operations/ingredient-purchasing/new,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 160; source literal; original ""/operations/ingredient-purchasing/new"""
frontend,GET,/operations/ingredient-purchasing/:id,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 161; source literal; original ""/operations/ingredient-purchasing/:id"""
frontend,GET,/operations/daily-sales,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 164; source literal; original ""/operations/daily-sales"""
frontend,GET,/operations/daily-sales/edit/:id,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 165; source literal; original ""/operations/daily-sales/edit/:id"""
frontend,GET,/daily-sales,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 166; source literal; original ""/daily-sales"""
frontend,GET,/operations/daily-sales-stock,client/src/App.tsx,Navigate,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 167; source literal; original ""/operations/daily-sales-stock"""
frontend,GET,/operations/daily-stock,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 169; source literal; original ""/operations/daily-stock"""
frontend,GET,/ops/purchasing-live,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 171; source literal; original ""/ops/purchasing-live"""
frontend,GET,/operations/purchasing,client/src/App.tsx,ProtectedRoute,mixed,unknown,alias/redirect possible,ui-routing,no,VERIFIED,"App.tsx line 172; source literal; original ""/operations/purchasing"""
