Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
Big Rooster Sriracha,10068,Burgers,56,14144,1,249,0,13895,0,13895,100%,0
Bottle Water,10031,Drinks,379,15160,5,200,84,14876,1525,13350,89%,0
Cajun Shake N Fries,10018,Side Orders,643,64153,3,297,1118,62737,0,62737,100%,0
Cheesy Bacon Fries,10010,Side Orders,503,59857,7,833,478,58545,0,58545,100%,0
Chicken Fillet Burger Set,10011,Burger Sets,15,3850,0,0,0,3850,0,3850,100%,0
Chicken Nuggets (12),10002,Side Orders,159,20511,2,258,0,20253,5652,14601,72%,0
Chicken Nuggets (24),10016,Side Orders,36,7164,0,0,19,7144,2354,4789,67%,0
Chicken Nuggets (6),10000,Side Orders,408,36312,1,89,267,35956,6654,29301,81%,0
Chicken Nuggets (9),10001,Side Orders,209,20691,3,297,217,20176,5562,14614,72%,0
Coke Can,10012,Drinks,827,33080,9,360,1132,31588,10732,20855,66%,0
Coke Zero,10013,Drinks,433,17320,7,280,8,17032,5589,11442,67%,0
Coleslaw with Bacon,10025,Side Orders,90,8892,2,198,0,8694,0,8694,100%,0
Crispy Chicken Fillet Burger,10066,Burgers,798,140684,9,1591,84,139008,0,139008,100%,0
Dirty Fries,10045,Side Orders,193,48057,0,0,0,48057,0,48057,100%,0
Double Set,10032,Burger Sets,1015,312365,4,1356,299,310710,13264,297445,95%,0
Fanta Orange,10027,Drinks,223,8920,0,0,52,8868,2925,5942,67%,0
Fanta Strawberry,10028,Drinks,118,4720,4,160,40,4520,1495,3024,66%,0
French Fries,10030,Side Orders,1238,110244,11,979,694,108570,0,108570,100%,0
Juice Box (Apple),10040,Drinks,44,1760,1,40,84,1636,516,1120,68%,0
Juice Box (Orange),10039,Drinks,29,1160,1,40,0,1120,336,784,70%,0
Karaage Chicken Burger,10070,Burgers,268,68375,6,1494,249,66632,39038,27594,41%,0
Karaage Chicken Set,10071,Burger Sets,87,28580,1,320,0,28260,0,28260,100%,0
Kids Double Cheeseburger,10017,Kids,9,1781,0,0,0,1781,0,1781,100%,0
Kids Single Cheeseburger,10015,Kids,23,4507,0,0,0,4507,0,4507,100%,0
Kids Single Set,10003,Kids,59,11151,1,189,0,10962,696,10266,93%,0
Loaded Fries (Original),10035,Side Orders,537,91290,4,680,799,89811,0,89811,100%,0
Mix and Match Meal Deal,10069,Promotions,117,82109,0,0,17,82091,0,82091,100%,0
Onion Rings,10020,Side Orders,273,27027,7,693,9,26324,0,26324,100%,0
Schweppes Lime,10021,Drinks,134,5360,1,40,124,5196,1689,3506,67%,0
Singha Pink Soda,10005,Drinks,24,960,0,0,0,960,0,960,100%,0
Singha Yellow Lemon Soda,10072,Drinks,10,400,0,0,0,400,0,400,100%,0
Single Meal Set,10033,Burger Sets,933,238827,4,996,273,237557,12188,225368,94%,0
Single Smash Burger,10004,Burgers,3030,537880,18,3410,7182,527288,0,527288,100%,0
Soda Water,10029,Drinks,91,3640,1,40,0,3600,704,2895,80%,0
Sprite,10026,Drinks,128,5120,1,40,360,4720,1671,3048,64%,0
Super Double Bacon,10019,Burgers,2042,503150,18,4560,2064,496526,210151,286374,57%,0
Super Double Bacon Set,10036,Burger Sets,1222,398148,4,1316,578,396253,142445,253808,64%,0
Sweet Potato Fries,10022,Side Orders,644,63756,3,297,445,63013,23236,39777,63%,0
Triple Set (Meal Deal),10034,Burger Sets,80,32230,0,0,0,32230,1049,31180,96%,0
Triple Smash Burger,10009,Burgers,233,75810,2,680,247,74883,0,74883,100%,0
Ultimate Double,10006,Burgers,2015,459060,7,1540,1089,456431,0,456431,100%,0
馃悢 El Smasho Grande Chicken Burger (喙佮竵喔｀笝喔斷箤喔娻复喔佮箑喔佮箟喔�),10037,Burgers,2,498,1,249,0,249,0,249,100%,0
